field,missing_pct_after_deterministic_cleaning,treatment,stage
STR_LGHTS,0.0,Blank converted to zero after binary-value validation,Deterministic
DAM_LGHTS,0.0,Blank converted to zero after binary-value validation,Deterministic
STR_OTHER,0.0,Blank converted to zero after binary-value validation,Deterministic
DAM_OTHER,0.0,Blank converted to zero after binary-value validation,Deterministic
OTHER_SPECIFY,86.22,Preserve unless another documented rule applies,Deterministic preservation
EFFECT,95.34,Preserve unless another documented rule applies,Deterministic preservation
EFFECT_OTHER,99.2,Preserve unless another documented rule applies,Deterministic preservation
BIRD_BAND_NUMBER,99.77,Preserve unless another documented rule applies,Deterministic preservation
SPECIES_ID,0.0,Preserve unless another documented rule applies,Deterministic preservation
SPECIES,0.0,Preserve explicit Unknown; blank standardized to Not reported,Deterministic
REMARKS,7.66,Preserve unless another documented rule applies,Deterministic preservation
REMAINS_COLLECTED,0.0,Preserve missing; blank not proven to mean No,Deterministic preservation
REMAINS_SENT,0.0,Preserve missing; blank not proven to mean No,Deterministic preservation
WARNED,0.0,Preserve explicit Unknown; blank standardized to Not reported,Deterministic
NUM_SEEN,0.0,Preserve explicit Unknown; blank standardized to Not reported,Deterministic
NUM_STRUCK,0.0,Preserve explicit Unknown; blank standardized to Not reported,Deterministic
SIZE,0.0,Preserve explicit Unknown; blank standardized to Not reported,Deterministic
NR_INJURIES,0.0,Blank converted to zero as no reported cases,Deterministic
NR_FATALITIES,0.0,Blank converted to zero as no reported cases,Deterministic
COMMENTS,30.96,Preserve unless another documented rule applies,Deterministic preservation
IMAGE,0.0,Preserve missing; blank not proven to mean No,Deterministic preservation
REPORTED_NAME,0.0,Preserve unless another documented rule applies,Deterministic preservation
REPORTED_TITLE,0.0,Preserve unless another documented rule applies,Deterministic preservation
SOURCE,0.0,Preserve unless another documented rule applies,Deterministic preservation
PERSON,6.61,Preserve unless another documented rule applies,Deterministic preservation
LUPDATE,0.0,Preserve unless another documented rule applies,Deterministic preservation
TRANSFER,0.0,Preserve unless another documented rule applies,Deterministic preservation
SPECIES_RAW,0.0,Preserved unchanged for audit,Audit
SPECIES_ID_RAW,0.0,Preserved unchanged for audit,Audit
SIZE_RAW,9.87,Preserved unchanged for audit,Audit
NUM_SEEN_RAW,67.68,Preserved unchanged for audit,Audit
NUM_STRUCK_RAW,0.21,Preserved unchanged for audit,Audit
PHASE_OF_FLIGHT_RAW,39.02,Preserved unchanged for audit,Audit
TIME_OF_DAY_RAW,43.45,Preserved unchanged for audit,Audit
WARNED_RAW,0.0,Preserved unchanged for audit,Audit
SKY_RAW,52.58,Preserved unchanged for audit,Audit
PRECIPITATION_RAW,96.25,Preserved unchanged for audit,Audit
AC_CLASS_RAW,28.46,Preserved unchanged for audit,Audit
DAMAGE_LEVEL_RAW,35.35,Preserved unchanged for audit,Audit
NUM_SEEN_ORDER,67.68,Preserve unless another documented rule applies,Deterministic preservation
NUM_STRUCK_ORDER,0.21,Preserve unless another documented rule applies,Deterministic preservation
TARGET_CONFLICT_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
SEVERITY_ELIGIBLE_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
WILDLIFE_TYPE,0.0,Preserve unless another documented rule applies,Deterministic preservation
HEIGHT_INVALID_NEGATIVE_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
HEIGHT_EXTREME_REVIEW_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
SPEED_INVALID_NEGATIVE_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
SPEED_EXTREME_REVIEW_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
DISTANCE_INVALID_NEGATIVE_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
DISTANCE_EXTREME_REVIEW_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
NUM_ENGS_INVALID_NEGATIVE_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
NUM_ENGS_EXTREME_REVIEW_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
AC_MASS_INVALID_NEGATIVE_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
AC_MASS_EXTREME_REVIEW_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
NR_INJURIES_INVALID_NEGATIVE_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
NR_INJURIES_EXTREME_REVIEW_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
NR_FATALITIES_INVALID_NEGATIVE_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
NR_FATALITIES_EXTREME_REVIEW_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
GROUND_PHASE_HEIGHT_CONFLICT_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
SEASON,0.0,Preserve unless another documented rule applies,Deterministic preservation
MONTH_SIN,0.0,Preserve unless another documented rule applies,Deterministic preservation
MONTH_COS,0.0,Preserve unless another documented rule applies,Deterministic preservation
AC_MASS_GROUP,0.0,Preserve unless another documented rule applies,Deterministic preservation
HEIGHT_MISSING_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
SPEED_MISSING_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
TIME_OF_DAY_MISSING_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
PHASE_OF_FLIGHT_MISSING_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
SIZE_MISSING_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
SKY_MISSING_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
PRECIPITATION_MISSING_FLAG,0.0,Preserve unless another documented rule applies,Deterministic preservation
TEMPORAL_SPLIT,0.0,Preserve unless another documented rule applies,Deterministic preservation
