field,initial_role,official_definition_checked,available_before_or_at_scenario,leakage_risk,binary_damage_use,severity_use,component_use,reason_or_evidence,reviewer,review_date
DAM_ENG3,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
ING_ENG3,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_ENG4,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_ENG4,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
ING_ENG4,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_PROP,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_PROP,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_WING_ROT,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_WING_ROT,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_FUSE,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_FUSE,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_LG,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_LG,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_TAIL,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_TAIL,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_LGHTS,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_LGHTS,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_OTHER,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_OTHER,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
OTHER_SPECIFY,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
EFFECT,excluded_post_event,No,Pending,Pending,Exclude,Pending,Pending,,,
EFFECT_OTHER,excluded_post_event,No,Pending,Pending,Exclude,Pending,Pending,,,
BIRD_BAND_NUMBER,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
SPECIES_ID,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
SPECIES,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
REMARKS,administrative_or_text,No,Pending,Pending,Exclude,Pending,Pending,,,
REMAINS_COLLECTED,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
REMAINS_SENT,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
WARNED,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
NUM_SEEN,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
NUM_STRUCK,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
SIZE,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
NR_INJURIES,excluded_post_event,No,Pending,Pending,Exclude,Pending,Pending,,,
NR_FATALITIES,excluded_post_event,No,Pending,Pending,Exclude,Pending,Pending,,,
COMMENTS,administrative_or_text,No,Pending,Pending,Exclude,Pending,Pending,,,
IMAGE,administrative_or_text,No,Pending,Pending,Exclude,Pending,Pending,,,
REPORTED_NAME,identifier,No,Pending,Pending,Exclude,Pending,Pending,,,
REPORTED_TITLE,administrative_or_text,No,Pending,Pending,Exclude,Pending,Pending,,,
SOURCE,administrative_or_text,No,Pending,Pending,Exclude,Pending,Pending,,,
PERSON,administrative_or_text,No,Pending,Pending,Exclude,Pending,Pending,,,
LUPDATE,administrative_or_text,No,Pending,Pending,Exclude,Pending,Pending,,,
TRANSFER,administrative_or_text,No,Pending,Pending,Exclude,Pending,Pending,,,
