field,dtype,non_null_count,non_null_pct,unique_non_null,official_field,official_definition,unit_or_code_meaning,valid_values,missing_value_meaning,variable_family,notes
AMA,object,248045,71.25,99,AMA,International Civil Aviation Organization code for Aircraft Make,,Pending confirmation from source codes and observed values,Pending manual review,aircraft,
AMO,object,215201,61.81,63,AMO,International Civil Aviation Organization code for Aircraft Model ,,Pending confirmation from source codes and observed values,Pending manual review,aircraft,
EMA,float64,232804,66.87,38,EMA,Engine Make Code (see Engine Codes tab below),,Pending confirmation from source codes and observed values,Pending manual review,aircraft,
EMO,float64,219635,63.09,49,EMO,Engine Model Code (see Engine Codes tab below),,Pending confirmation from source codes and observed values,Pending manual review,aircraft,
AC_CLASS,object,249821,71.76,5,AC_CLASS,Type of aircraft (see Aircraft Type tab below),"{'A': 'Airplane', 'B': 'Helicopter', 'C': 'Glider', 'D': 'Balloon', 'F': 'Dirigible', 'I': 'Gyroplane', 'J': 'Ultralight', 'Y': 'Other', 'Z': 'Unknown'}",Pending confirmation from source codes and observed values,Pending manual review,aircraft,
AC_MASS,float64,249686,71.72,5,AC_MASS,"1 = 2,250 kg or less: 2 = ,2251-5700 kg: 3 = 5,701-27,000 kg: 4 = 27,001-272,000 kg: 5 = above 272,000 kg",,Pending confirmation from source codes and observed values,Pending manual review,aircraft,
TYPE_ENG,object,249363,71.63,7,TYPE_ENG,Type of power A = reciprocating engine (piston): B = Turbojet: C = Turboprop: D = Turbofan: E = None (glider): F = Turboshaft (helicopter): Y = Other,,Pending confirmation from source codes and observed values,Pending manual review,aircraft,
NUM_ENGS,float64,249390,71.63,4,NUM_ENGS,Number of engines,,Pending confirmation from source codes and observed values,Pending manual review,aircraft,
ENG_1_POS,float64,249367,71.63,7,ENG_1_POS,Where engine # 1 is mounted  on aircraft (see Engine Position tab below),"{1: 'Below the wing', 2: 'Above the wing', 3: 'Integral to the wing root', 4: 'Nacelle-mounted on the wing', 5: 'Aft fuselage', 6: 'Empennage (helicopters)', 7: 'Nose intake'}",Pending confirmation from source codes and observed values,Pending manual review,aircraft,
ENG_2_POS,float64,232592,66.81,7,ENG_2_POS,Where engine # 2 is mounted  on aircraft (see Engine Position tab below),"{1: 'Below the wing', 2: 'Above the wing', 3: 'Integral to the wing root', 4: 'Nacelle-mounted on the wing', 5: 'Aft fuselage', 6: 'Empennage (helicopters)', 7: 'Nose intake'}",Pending confirmation from source codes and observed values,Pending manual review,aircraft,
ENG_3_POS,float64,13673,3.93,5,ENG_3_POS,Where engine # 3 is mounted  on aircraft (see Engine Position tab below),"{1: 'Below the wing', 2: 'Above the wing', 3: 'Integral to the wing root', 4: 'Nacelle-mounted on the wing', 5: 'Aft fuselage', 6: 'Empennage (helicopters)', 7: 'Nose intake'}",Pending confirmation from source codes and observed values,Pending manual review,aircraft,
ENG_4_POS,float64,3641,1.05,4,ENG_4_POS,Where engine # 4 is mounted  on aircraft (see Engine Position tab below),"{1: 'Below the wing', 2: 'Above the wing', 3: 'Integral to the wing root', 4: 'Nacelle-mounted on the wing', 5: 'Aft fuselage', 6: 'Empennage (helicopters)', 7: 'Nose intake'}",Pending confirmation from source codes and observed values,Pending manual review,aircraft,
PHASE_OF_FLIGHT,object,210977,60.6,12,PHASE_OF_FLT,Phase of flight during which strike occurred,,Pending confirmation from source codes and observed values,Pending manual review,flight_context,
HEIGHT,float64,172981,49.69,761,HEIGHT,Feet Above Ground Level,,Pending confirmation from source codes and observed values,Pending manual review,flight_context,
SPEED,float64,107648,30.92,292,SPEED,Knots (indicated air speed),,Pending confirmation from source codes and observed values,Pending manual review,flight_context,
DISTANCE,float64,230653,66.25,257,DISTANCE,Nautical miles from airport,,Pending confirmation from source codes and observed values,Pending manual review,flight_context,
INCIDENT_LATITUDE,float64,0,0.0,0,,,,Pending confirmation from source codes and observed values,Pending manual review,geography,
INCIDENT_LONGITUDE,float64,0,0.0,0,,,,Pending confirmation from source codes and observed values,Pending manual review,geography,
SKY,object,163172,46.87,3,SKY,"Type of cloud cover, if any",,Pending confirmation from source codes and observed values,Pending manual review,weather,
PRECIPITATION,object,12636,3.63,10,PRECIP,Precipitation,,Pending confirmation from source codes and observed values,Pending manual review,weather,
AOS,float64,17434,5.01,511,AOS,"Time aircraft was out of service in hours. If unknown, it is blank.",,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
COST_REPAIRS,object,5425,1.56,1367,COST_REPAIRS,Estimated cost of repairs of replacement in dollars (USD),,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
COST_OTHER,object,5562,1.6,691,COST_OTHER,"Estimated other costs, other than those in previous field in dollars (USD). May include loss of revenue, hotel expenses due to flight cancellation, costs of fuel dumped, etc.",,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
COST_REPAIRS_INFL_ADJ,object,5425,1.56,3144,COST_REPAIRS_INFL_ADJ,"Costs adjusted to the most recent year based on Consumer Price Index, U.S. Department of Labor.  Inflation-adjusted costs are updated annually.",,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
COST_OTHER_INFL_ADJ,object,5562,1.6,1805,COST_OTHER_INFL_ADJ,"Costs adjusted to the most recent year based on Consumer Price Index, U.S. Department of Labor.  Inflation-adjusted costs are updated annually.",,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
INGESTED_OTHER,int64,348146,100.0,2,INGESTED_OTHER,"Wildlife ingested in a location other than an engine, effective 3/29/2021 (ALL ingestions for strikes submitted prior to 3/29/2021 are shown here)",,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
INDICATED_DAMAGE,int64,348146,100.0,2,INDICATED_DAMAGE,Indicates whether or not aircraft was damaged,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
DAMAGE_LEVEL,object,225541,64.78,5,DAMAGE,Level of damage selected by the Database Manager. See below for ICAO definitions taken from ICAO IBIS Manual Fourth Edition-2001,"{'N': 'No damage was reported.', 'M': 'Minor damage; simple repair or replacement can restore airworthiness.', 'M?': 'Damage was reported, but the level is undetermined.', 'S': 'Substantial damage affecting structural strength, performance, or flight characteristics.', 'D': 'Destroyed; restoration to an airworthy condition is inadvisable.'}",Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_RAD,int64,348146,100.0,2,STR_RAD,Struck radome,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_RAD,int64,348146,100.0,2,DAM_RAD,Damaged radome,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_WINDSHLD,int64,348146,100.0,2,STR_WINDSHLD,Struck windshield,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_WINDSHLD,int64,348146,100.0,2,DAM_WINDSHLD,Damaged windshield,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_NOSE,int64,348146,100.0,2,STR_NOSE,Struck nose,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_NOSE,int64,348146,100.0,2,DAM_NOSE,Damaged nose,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_ENG1,int64,348146,100.0,2,STR_ENG1,Struck Engine 1,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_ENG1,int64,348146,100.0,2,DAM_ENG1,Damaged Engine 1,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
ING_ENG1,int64,348146,100.0,2,ING_ENG1,Ingested Engine 1,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
STR_ENG2,int64,348146,100.0,2,STR_ENG2,Struck Engine 2,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_ENG2,int64,348146,100.0,2,DAM_ENG2,Damaged Engine 2,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
ING_ENG2,int64,348146,100.0,2,ING_ENG2,Ingested Engine 2,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
STR_ENG3,int64,348146,100.0,2,STR_ENG3,Struck Engine 3,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_ENG3,int64,348146,100.0,2,DAM_ENG3,Damaged Engine 3,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
ING_ENG3,int64,348146,100.0,2,ING_ENG3,Ingested Engine 3,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
STR_ENG4,int64,348146,100.0,2,STR_ENG4,Struck Engine 4,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_ENG4,int64,348146,100.0,2,DAM_ENG4,Damaged Engine 4,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
ING_ENG4,int64,348146,100.0,2,ING_ENG4,Ingested Engine 4,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
STR_PROP,int64,348146,100.0,2,STR_PROP,Struck Propeller,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_PROP,int64,348146,100.0,2,DAM_PROP,Damaged Propeller,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_WING_ROT,int64,348146,100.0,2,STR_WING_ROT,Struck Wing or Rotor,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_WING_ROT,int64,348146,100.0,2,DAM_WING_ROT,Damaged Wing or Rotor,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_FUSE,int64,348146,100.0,2,STR_FUSE,Struck Fuselage,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_FUSE,int64,348146,100.0,2,DAM_FUSE,Damaged Fuselage,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_LG,int64,348146,100.0,2,STR_LG,Struck Landing Gear,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_LG,int64,348146,100.0,2,DAM_LG,Damaged Landing Gear,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_TAIL,int64,348146,100.0,2,STR_TAIL,Struck Tail,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_TAIL,int64,348146,100.0,2,DAM_TAIL,Damaged Tail,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_LGHTS,int64,348146,100.0,2,STR_LGHTS,Struck Lights,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_LGHTS,int64,348146,100.0,2,DAM_LGHTS,Damaged Lights,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
STR_OTHER,int64,348146,100.0,2,STR_OTHER,Struck Other than parts shown above,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
DAM_OTHER,int64,348146,100.0,2,DAM_OTHER,Damaged Other than parts shown above,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
OTHER_SPECIFY,object,48836,14.03,3332,OTHER_SPECIFY,What part was struck other than those listed above,,Pending confirmation from source codes and observed values,Pending manual review,strike_and_ingestion_details,
EFFECT,object,15935,4.58,12,EFFECT,Effect on flight,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
EFFECT_OTHER,object,2783,0.8,830,EFFECT_OTHER,Effect on flight other than those listed on the form,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
BIRD_BAND_NUMBER,object,794,0.23,683,BIRD_BAND_NUMBER,Bird Band Number associated with the wildlife struck,,Pending confirmation from source codes and observed values,Pending manual review,wildlife,
SPECIES_ID,object,348146,100.0,972,SPECIES_ID,International Civil Aviation Organization code for type of bird or other wildlife,,Pending confirmation from source codes and observed values,Pending manual review,wildlife,
SPECIES,object,348146,100.0,973,SPECIES,Common name for bird or other wildlife,,Pending confirmation from source codes and observed values,Pending manual review,wildlife,
REMARKS,object,323225,92.84,294362,REMARKS,Most of remarks are from the form but some are data entry notes and are usually in parentheses.,,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
REMAINS_COLLECTED,int64,348146,100.0,2,REMAINS_COLLECTED,Indicates if bird or wildlife remains were found and collected,,Pending confirmation from source codes and observed values,Pending manual review,wildlife,
REMAINS_SENT,int64,348146,100.0,2,REMAINS_SENT,Indicates if remains were sent to the Smithsonian Institution for identifcation,,Pending confirmation from source codes and observed values,Pending manual review,wildlife,
WARNED,object,348146,100.0,3,WARNED,Pilot warned of birds/wildlife,,Pending confirmation from source codes and observed values,Pending manual review,flight_context,
NUM_SEEN,object,111631,32.06,4,BIRDS_SEEN,Number of birds/wildlife seen by pilot,,Pending confirmation from source codes and observed values,Pending manual review,wildlife,
NUM_STRUCK,object,347403,99.79,4,BIRDS_STRUCK,Number of birds/wildlife struck,,Pending confirmation from source codes and observed values,Pending manual review,wildlife,
SIZE,object,308781,88.69,3,SIZE,"Size of bird as reported by pilot is a relative scale. Entry should reflect the perceived size as opposed to a scientifically determined value. If more than one species was struck, larger bird is entered.",,Pending confirmation from source codes and observed values,Pending manual review,wildlife,
NR_INJURIES,float64,302,0.09,6,NR_INJURIES,Number of people injured,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
NR_FATALITIES,float64,25,0.01,6,NR_FATALITIES,Number of human fatalities,,Pending confirmation from source codes and observed values,Pending manual review,targets_and_consequences,
COMMENTS,object,229422,65.9,212199,COMMENTS,"As entered by database manager. Can include name of aircraft owner, types of reports received, updates, etc.",,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
IMAGE,int64,348146,100.0,2,,,,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
REPORTED_NAME,object,348146,100.0,1,REPORTED_NAME,Name(s) of person(s) filing report,,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
REPORTED_TITLE,object,348146,100.0,1,REPORTED_TITLE,Title(s) of person(s) filing report,,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
SOURCE,object,348146,100.0,16,SOURCE,"Type of report. Note: for multiple types of reports this will be indicated as Multiple.  See ""Comments"" field for details",,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
PERSON,object,327040,93.94,6,PERSON,"Only one selection allowed. For multiple reports, see field ""Reported Title""",,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
LUPDATE,object,348146,100.0,4834,LUPDATE,Last time record was updated,,Pending confirmation from source codes and observed values,Pending manual review,time,
TRANSFER,int64,348146,100.0,1,TRANSFER,Unused field at this time,,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
